day_type,bigger_id,c_users,geo
sobota,X373Y560,9,"POLYGON((16.8510118974455 52.3419068557744, 16.8507939272711 52.3464002550333, 16.8434568688019 52.3462665199619, 16.843609973869 52.343121155992, 16.8436755816895 52.3417731422496, 16.8510118974455 52.3419068557744))"
niedziela,X373Y560,8,"POLYGON((16.8510118974455 52.3419068557744, 16.8507939272711 52.3464002550333, 16.8434568688019 52.3462665199619, 16.843609973869 52.343121155992, 16.8436755816895 52.3417731422496, 16.8510118974455 52.3419068557744))"
dzien_roboczy,X373Y560,8,"POLYGON((16.8510118974455 52.3419068557744, 16.8507939272711 52.3464002550333, 16.8434568688019 52.3462665199619, 16.843609973869 52.343121155992, 16.8436755816895 52.3417731422496, 16.8510118974455 52.3419068557744))"
sobota,X399Y549,1,"POLYGON((17.0320417090132 52.3990284232933, 17.0322416836643 52.3945345528934, 17.039587613849 52.394656643564, 17.0393883845645 52.3991505336494, 17.0349803729188 52.3990773221955, 17.0320417090132 52.3990284232933))"
niedziela,X399Y549,1,"POLYGON((17.0320417090132 52.3990284232933, 17.0322416836643 52.3945345528934, 17.039587613849 52.394656643564, 17.0393883845645 52.3991505336494, 17.0349803729188 52.3990773221955, 17.0320417090132 52.3990284232933))"
dzien_roboczy,X399Y549,1,"POLYGON((17.0320417090132 52.3990284232933, 17.0322416836643 52.3945345528934, 17.039587613849 52.394656643564, 17.0393883845645 52.3991505336494, 17.0349803729188 52.3990773221955, 17.0320417090132 52.3990284232933))"
sobota,X373Y549,13,"POLYGON((16.8486110654796 52.3913340233027, 16.8483924628522 52.3958273776957, 16.8417817431669 52.395706823086, 16.8410472216445 52.395693405323, 16.8412665691352 52.3912000725247, 16.8486110654796 52.3913340233027))"
niedziela,X373Y549,14,"POLYGON((16.8486110654796 52.3913340233027, 16.8483924628522 52.3958273776957, 16.8417817431669 52.395706823086, 16.8410472216445 52.395693405323, 16.8412665691352 52.3912000725247, 16.8486110654796 52.3913340233027))"
dzien_roboczy,X373Y549,12,"POLYGON((16.8486110654796 52.3913340233027, 16.8483924628522 52.3958273776957, 16.8417817431669 52.395706823086, 16.8410472216445 52.395693405323, 16.8412665691352 52.3912000725247, 16.8486110654796 52.3913340233027))"
sobota,X376Y535,5,"POLYGON((16.86003752039 52.4590010896597, 16.8602554362107 52.4545077492931, 16.867610551545 52.4546406315078, 16.8673933833973 52.4591339933095, 16.86003752039 52.4590010896597))"
niedziela,X376Y535,8,"POLYGON((16.86003752039 52.4590010896597, 16.8602554362107 52.4545077492931, 16.867610551545 52.4546406315078, 16.8673933833973 52.4591339933095, 16.86003752039 52.4590010896597))"
dzien_roboczy,X376Y535,5,"POLYGON((16.86003752039 52.4590010896597, 16.8602554362107 52.4545077492931, 16.867610551545 52.4546406315078, 16.8673933833973 52.4591339933095, 16.86003752039 52.4590010896597))"
sobota,X393Y552,17,"POLYGON((16.9885759473909 52.3848049143004, 16.9887802322854 52.3803111515598, 16.9961236087539 52.3804359192909, 16.9959200685262 52.3849297021456, 16.9885759473909 52.3848049143004))"
niedziela,X393Y552,28,"POLYGON((16.9885759473909 52.3848049143004, 16.9887802322854 52.3803111515598, 16.9961236087539 52.3804359192909, 16.9959200685262 52.3849297021456, 16.9885759473909 52.3848049143004))"
dzien_roboczy,X393Y552,8,"POLYGON((16.9885759473909 52.3848049143004, 16.9887802322854 52.3803111515598, 16.9961236087539 52.3804359192909, 16.9959200685262 52.3849297021456, 16.9885759473909 52.3848049143004))"
sobota,X384Y532,1,"POLYGON((16.918461982538 52.469038524671, 16.9258197947683 52.4691678123156, 16.9256084414609 52.4736613308485, 16.9189857343564 52.4735449737813, 16.9182498808074 52.473532022345, 16.918461982538 52.469038524671))"
dzien_roboczy,X384Y532,1,"POLYGON((16.918461982538 52.469038524671, 16.9258197947683 52.4691678123156, 16.9256084414609 52.4736613308485, 16.9189857343564 52.4735449737813, 16.9182498808074 52.473532022345, 16.918461982538 52.469038524671))"
sobota,X388Y540,92,"POLYGON((16.9567085768783 52.4382250677625, 16.9493557767284 52.4380977535864, 16.9495644437305 52.433604140755, 16.953975669074 52.4336805717625, 16.9569164969542 52.4337314344003, 16.9567085768783 52.4382250677625))"
niedziela,X388Y540,97,"POLYGON((16.9567085768783 52.4382250677625, 16.9493557767284 52.4380977535864, 16.9495644437305 52.433604140755, 16.953975669074 52.4336805717625, 16.9569164969542 52.4337314344003, 16.9567085768783 52.4382250677625))"
dzien_roboczy,X388Y540,86,"POLYGON((16.9567085768783 52.4382250677625, 16.9493557767284 52.4380977535864, 16.9495644437305 52.433604140755, 16.953975669074 52.4336805717625, 16.9569164969542 52.4337314344003, 16.9567085768783 52.4382250677625))"
sobota,X385Y535,13,"POLYGON((16.9262423340809 52.46018076315, 16.9264535201253 52.4556872325174, 16.9338091439831 52.4558160004345, 16.9335987057905 52.4603095518397, 16.926977968747 52.4601936625953, 16.9262423340809 52.46018076315))"
niedziela,X385Y535,9,"POLYGON((16.9262423340809 52.46018076315, 16.9264535201253 52.4556872325174, 16.9338091439831 52.4558160004345, 16.9335987057905 52.4603095518397, 16.926977968747 52.4601936625953, 16.9262423340809 52.46018076315))"
dzien_roboczy,X385Y535,13,"POLYGON((16.9262423340809 52.46018076315, 16.9264535201253 52.4556872325174, 16.9338091439831 52.4558160004345, 16.9335987057905 52.4603095518397, 16.926977968747 52.4601936625953, 16.9262423340809 52.46018076315))"
sobota,X391Y540,2,"POLYGON((16.9716207676981 52.433984651164, 16.9760320914544 52.4340602598488, 16.9789729848252 52.4341105742667, 16.9787673056431 52.4386042687801, 16.9714143415323 52.4384783253672, 16.9716207676981 52.433984651164))"
niedziela,X391Y540,3,"POLYGON((16.9716207676981 52.433984651164, 16.9760320914544 52.4340602598488, 16.9789729848252 52.4341105742667, 16.9787673056431 52.4386042687801, 16.9714143415323 52.4384783253672, 16.9716207676981 52.433984651164))"
dzien_roboczy,X391Y540,2,"POLYGON((16.9716207676981 52.433984651164, 16.9760320914544 52.4340602598488, 16.9789729848252 52.4341105742667, 16.9787673056431 52.4386042687801, 16.9714143415323 52.4384783253672, 16.9716207676981 52.433984651164))"
sobota,X394Y557,25,"POLYGON((17.0042776869414 52.3625849795373, 16.9969372336363 52.362460747925, 16.9971405059438 52.357966945097, 17.0044802155416 52.3580911566888, 17.0042776869414 52.3625849795373))"
niedziela,X394Y557,19,"POLYGON((17.0042776869414 52.3625849795373, 16.9969372336363 52.362460747925, 16.9971405059438 52.357966945097, 17.0044802155416 52.3580911566888, 17.0042776869414 52.3625849795373))"
dzien_roboczy,X394Y557,22,"POLYGON((17.0042776869414 52.3625849795373, 16.9969372336363 52.362460747925, 16.9971405059438 52.357966945097, 17.0044802155416 52.3580911566888, 17.0042776869414 52.3625849795373))"
sobota,X391Y554,6,"POLYGON((16.9816418851636 52.3756921812837, 16.9742993609591 52.375566521839, 16.9745050267314 52.3710727915328, 16.9803784463808 52.3711733393529, 16.9818468066985 52.3711984307248, 16.9816418851636 52.3756921812837))"
niedziela,X391Y554,6,"POLYGON((16.9816418851636 52.3756921812837, 16.9742993609591 52.375566521839, 16.9745050267314 52.3710727915328, 16.9803784463808 52.3711733393529, 16.9818468066985 52.3711984307248, 16.9816418851636 52.3756921812837))"
dzien_roboczy,X391Y554,7,"POLYGON((16.9816418851636 52.3756921812837, 16.9742993609591 52.375566521839, 16.9745050267314 52.3710727915328, 16.9803784463808 52.3711733393529, 16.9818468066985 52.3711984307248, 16.9816418851636 52.3756921812837))"
sobota,X389Y549,193,"POLYGON((16.9585778852601 52.3977822229313, 16.958785312549 52.3932885534271, 16.9661307069331 52.3934152063034, 16.9659240248228 52.3979088962276, 16.9585778852601 52.3977822229313))"
niedziela,X389Y549,181,"POLYGON((16.9585778852601 52.3977822229313, 16.958785312549 52.3932885534271, 16.9661307069331 52.3934152063034, 16.9659240248228 52.3979088962276, 16.9585778852601 52.3977822229313))"
