ID,Powiaty,area_ha,area_km,pop_total,pop_per_km2,rank_area,rank_pop
0410,   nakielski,112045,1120,83148,74,101,111
0411,   radziejowski,60722,607,38173,63,258,281
0412,   rypiński,58669,587,41404,71,261,270
0413,   sępoleński,79095,791,39218,50,185,276
0414,   świecki,147421,1474,95359,65,39,86
0415,   toruński,123040,1230,113565,92,77,53
0416,   tucholski,107538,1075,47109,44,107,244
0417,   wąbrzeski,50083,501,32756,65,281,299
0418,   włocławski,147196,1472,82599,56,40,114
0419,   żniński,98475,985,67936,69,132,165
0461,   Bydgoszcz,17596,176,330038,1876,12,9
0462,   Grudziądz,5776,58,89450,1549,48,40
0463,   Toruń,11572,116,195690,1691,22,16
0464,   Włocławek,8509,85,102102,1200,34,35
0601,   bialski,275430,2754,105530,38,3,71
0602,   biłgorajski,168101,1681,97055,58,20,82
0603,   chełmski,188090,1881,74351,40,11,144
0604,   hrubieszowski,127018,1270,57594,45,69,200
0605,   janowski,87530,876,43188,49,161,259
0606,   krasnostawski,103142,1032,59754,58,118,191
0607,   kraśnicki,100530,1005,90085,90,127,95
0608,   lubartowski,128868,1289,84578,66,66,106
0609,   lubelski,167958,1680,163209,97,21,16
0610,   łęczyński,63661,637,55926,88,242,207
0611,   łukowski,139425,1394,101536,73,47,75
0612,   opolski,81050,811,56163,69,177,205
0613,   parczewski,95219,952,32608,34,142,302
0614,   puławski,93377,934,107914,116,146,64
0615,   radzyński,96500,965,55493,58,138,208
0616,   rycki,61443,614,52021,85,254,226
0617,   świdnicki,46835,468,69586,149,290,157
0618,   tomaszowski,148676,1487,77963,52,37,127
0619,   włodawski,125643,1256,35802,28,73,292
0620,   zamojski,187031,1870,101388,54,12,76
0661,   Biała Podlaska,4940,49,54768,1109,52,58
0662,   Chełm,3997,40,57940,1450,55,56
0663,   Lublin,14746,147,331243,2246,18,8
0664,   Zamość,3033,30,58942,1943,62,55
0801,   gorzowski,121422,1214,73480,61,83,148
0802,   krośnieński,138991,1390,53105,38,50,223
0803,   międzyrzecki,138758,1388,55357,40,51,209
0804,   nowosolski,77075,771,82619,107,194,113
0805,   słubicki,99931,999,45965,46,129,248
0806,   strzelecko-drezdenecki,124781,1248,47002,38,75,245
0807,   sulęciński,117794,1178,33771,29,89,297
0808,   świebodziński,93660,937,54268,58,145,214
0812,   wschowski,62433,624,37441,60,245,286
0809,   zielonogórski,135089,1351,74967,55,58,139
0810,   żagański,113157,1131,74390,66,98,142
0811,   żarski,139281,1393,91897,66,49,87
0861,   Gorzów Wielkopolski,8573,86,116436,1358,31,29
0862,   Zielona Góra,27827,278,139278,501,8,24
1001,   bełchatowski,96761,968,109035,113,135,63
1021,   brzeziński,35855,359,30246,84,309,307
1002,   kutnowski,88686,887,91563,103,156,90
1003,   łaski,61830,618,48992,79,249,239
1004,   łęczycki,77277,773,47002,61,191,245
1005,   łowicki,98813,988,74606,76,131,140
1006,   łódzki wschodni,49981,500,74361,149,282,143
1007,   opoczyński,104016,1040,72310,70,114,152
1008,   pabianicki,49221,492,119316,242,284,50
1009,   pajęczański,80418,804,49064,61,181,238
1010,   piotrkowski,142832,1429,90519,63,43,92
1011,   poddębicki,88084,881,39621,45,157,274
1012,   radomszczański,144319,1443,107575,75,42,65
1013,   rawski,64629,646,46415,72,237,247
1014,   sieradzki,149088,1491,112350,75,36,56
1015,   skierniewicki,75338,753,37799,50,195,283
1016,   tomaszowski,102461,1025,111439,109,121,58
1017,   wieluński,92624,926,73140,79,148,150
1018,   wieruszowski,57718,577,41583,72,264,268
1019,   zduńskowolski,36919,369,63742,173,306,173
1020,   zgierski,85519,855,166537,195,164,14
1061,   Łódź,29325,293,658444,2245,6,4
1062,   Piotrków Trybunalski,6724,67,67264,1000,44,50
1063,   Skierniewice,3460,35,45560,1317,57,62
1201,   bocheński,64873,649,106878,165,236,66
1202,   brzeski,59063,591,91823,155,259,88
1203,   chrzanowski,36982,370,119719,324,305,49
1204,   dąbrowski,53024,530,57809,109,275,198
1205,   gorlicki,96632,966,105782,109,137,69
1206,   krakowski,123056,1230,300289,244,76,2
1207,   limanowski,95124,951,131549,138,143,37
1208,   miechowski,67633,676,46998,69,228,246
1209,   myślenicki,67298,673,129538,192,232,42
1210,   nowosądecki,154990,1550,214933,139,31,5
1211,   nowotarski,147507,1475,190143,129,38,9
1212,   olkuski,61814,618,106843,173,250,67
1213,   oświęcimski,40621,406,149304,368,301,27
1214,   proszowicki,41489,415,42268,102,299,263
1215,   suski,68564,686,83127,121,225,112
1216,   tarnowski,141191,1412,197717,140,46,8
1217,   tatrzański,47163,472,66566,141,288,169
1218,   wadowicki,64594,646,157855,244,238,19
1219,   wielicki,41059,411,142044,346,300,30
1261,   Kraków,32685,327,803282,2458,4,2
1262,   Nowy Sącz,5760,58,80587,1399,49,44
1263,   Tarnów,7237,72,103960,1437,41,34
1401,   białobrzeski,63911,639,32614,51,241,301
1402,   ciechanowski,105980,1060,85627,81,111,104
1403,   garwoliński,128485,1285,105620,82,68,70
1404,   gostyniński,61487,615,42633,69,253,262
1405,   grodziski,36700,367,104434,285,307,72
1406,   grójecki,126782,1268,97395,77,70,81
1407,   kozienicki,91595,916,57523,63,151,202
1408,   legionowski,39079,391,130278,333,304,39
1409,   lipski,74061,740,31839,43,200,305
1410,   łosicki,77248,772,28941,37,192,308
1411,   makowski,106461,1065,42109,40,110,266
1412,   miński,116360,1164,159034,137,91,17
1413,   mławski,118183,1182,69521,59,88,158
1414,   nowodworski,69479,695,79719,115,222,124
1415,   ostrołęcki,209355,2093,87503,42,7,98
1416,   ostrowski,121772,1218,68881,57,82,162
1417,   otwocki,61592,616,126649,206,252,45
1418,   piaseczyński,62099,621,212129,342,248,6
1419,   płocki,179665,1797,109735,61,15,60
1420,   płoński,137980,1380,84387,61,55,108
1421,   pruszkowski,24637,246,178037,723,311,11
1422,   przasnyski,121865,1219,49408,41,81,237
1423,   przysuski,80151,802,39031,49,183,278
1424,   pułtuski,82723,827,50557,61,175,233
1425,   radomski,152974,1530,151202,99,33,24
1426,   siedlecki,160348,1603,80492,50,28,123
1427,   sierpecki,85203,852,48639,57,166,241
1428,   sochaczewski,73481,735,83333,113,203,110
1429,   sokołowski,113120,1131,50618,45,99,232
1430,   szydłowiecki,45158,452,37791,84,293,284
1432,   warszawski zachodni,53379,534,133217,250,273,34
1433,   węgrowski,122075,1220,62271,51,80,177
1434,   wołomiński,95367,954,273411,287,141,3
1435,   wyszkowski,87665,877,73562,84,159,147
1436,   zwoleński,57300,573,34535,60,267,295
1437,   żuromiński,80661,806,35882,44,179,290
1438,   żyrardowski,53254,532,75414,142,274,135
1461,   Ostrołęka,3346,33,48712,1456,58,60
1462,   Płock,8804,88,112483,1278,30,32
1463,   Radom,11180,112,197848,1770,23,14
1464,   Siedlce,3186,32,75623,2374,61,46
1465,   M.st. Warszawa,51720,517,1861975,3600,2,1
